name,amount,price,description
Muffin Chocolate Individual Wrap,87,7.82,Crotalus triseriatus
Peach - Fresh,90,69.06,Dasypus novemcinctus
Tea - Orange Pekoe,44,67.9,Phoenicopterus chilensis
Assorted Desserts,24,77.83,Thylogale stigmatica
Bulgar,24,59.3,Spizaetus coronatus
Ecolab - Medallion,46,49.74,Oncorhynchus nerka
Oil - Cooking Spray,9,92.76,Alligator mississippiensis
Bread - Flat Bread,49,21.3,Dendrocitta vagabunda
Ecolab Crystal Fusion,39,15.8,Balearica pavonina
Cheese - Brick With Onion,5,76.67,Lepus arcticus
Energy Drink Red Bull,48,15.71,Morelia spilotes variegata
V8 - Vegetable Cocktail,99,21.33,Semnopithecus entellus
Bread - Olive,93,83.92,Dacelo novaeguineae
"Wine - White, Antinore Orvieto",10,24.25,Phasianus colchicus
Vinegar - White Wine,22,12.43,Leprocaulinus vipera
Chips - Assorted,78,42.44,Platalea leucordia
Temperature Recording Station,64,43.11,Choriotis kori
Oregano - Fresh,38,47.58,Galago crassicaudataus
Mustard - Seed,89,7.2,Cochlearius cochlearius
Beer - Upper Canada Light,53,83.91,Eumetopias jubatus
Buffalo - Short Rib Fresh,84,11.63,Hystrix indica
Tandoori Curry Paste,99,58.11,Laniarius ferrugineus
"Pork - Back, Short Cut, Boneless",56,63.51,Prionace glauca
Maple Syrup,71,21.99,Pycnonotus barbatus
Croissants Thaw And Serve,5,66.6,Uraeginthus angolensis
"Mushrooms - Black, Dried",32,84.19,Gazella thompsonii
Latex Rubber Gloves Size 9,14,91.89,Passer domesticus
Scallops - Live In Shell,78,84.27,Cyrtodactylus louisiadensis
Eel - Smoked,91,14.13,Manouria emys
Wine - Sake,99,28.69,Lepus arcticus
Flower - Potmums,17,88.23,Propithecus verreauxi
Wine - Chardonnay South,74,86.11,Lybius torquatus
Cheese - Taleggio D.o.p.,75,32.59,Manouria emys
"Beef - Tenderlion, Center Cut",52,31.58,Eudyptula minor
Carbonated Water - Raspberry,32,65.56,Myiarchus tuberculifer
